SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
20623	20623_CALLLENA_FW_V_v5_1811346U1	1811346U1	CALLLENA	FW	V	s5	20623		Ithomiini	Callithomia_lenea_zelie	Callithomia_lenea_zelie	Callithomia	lenea	confusa
20633	20633_OLLAONEG_FW_V_v1_1811346U1	1811346U1	OLLAONEG	FW	V	s1	20633		Ithomiini	Oleria_onega	Oleria_onega	Oleria	onega	lerida
20633	20633_OLLAONEG_FW_V_v2_1811346U1	1811346U1	OLLAONEG	FW	V	s2	20633		Ithomiini	Oleria_onega	Oleria_onega	Oleria	onega	lerida
20633	20633_OLLAONEG_FW_V_v3_1811346U1	1811346U1	OLLAONEG	FW	V	s3	20633		Ithomiini	Oleria_onega	Oleria_onega	Oleria	onega	lerida
20633	20633_OLLAONEG_FW_V_v4_1811346U1	1811346U1	OLLAONEG	FW	V	s4	20633		Ithomiini	Oleria_onega	Oleria_onega	Oleria	onega	lerida
20633	20633_OLLAONEG_FW_V_v5_1811346U1	1811346U1	OLLAONEG	FW	V	s5	20633		Ithomiini	Oleria_onega	Oleria_onega	Oleria	onega	lerida
20635	20635_PSEUFLOR_FW_V_v1_1811346U1	1811346U1	PSEUFLOR	FW	V	s1	20635		Ithomiini	Pseudoscada_florula_aureola	Pseudoscada_florula_aureola	Pseudoscada	florula	aureliana
20635	20635_PSEUFLOR_FW_V_v2_1811346U1	1811346U1	PSEUFLOR	FW	V	s2	20635		Ithomiini	Pseudoscada_florula_aureola	Pseudoscada_florula_aureola	Pseudoscada	florula	aureliana
20635	20635_PSEUFLOR_FW_V_v3_1811346U1	1811346U1	PSEUFLOR	FW	V	s3	20635		Ithomiini	Pseudoscada_florula_aureola	Pseudoscada_florula_aureola	Pseudoscada	florula	aureliana
20635	20635_PSEUFLOR_FW_V_v4_1811346U1	1811346U1	PSEUFLOR	FW	V	s4	20635		Ithomiini	Pseudoscada_florula_aureola	Pseudoscada_florula_aureola	Pseudoscada	florula	aureliana
20635	20635_PSEUFLOR_FW_V_v5_1811346U1	1811346U1	PSEUFLOR	FW	V	s5	20635		Ithomiini	Pseudoscada_florula_aureola	Pseudoscada_florula_aureola	Pseudoscada	florula	aureliana
20669	20669_PSEUFLOR_FW_V_v1_1811346U1	1811346U1	PSEUFLOR	FW	V	s1	20669		Ithomiini	Napeogenes_sylphis_corena	Napeogenes_sylphis_corena	Napeogenes	sylphis	aureliana
20669	20669_PSEUFLOR_FW_V_v2_1811346U1	1811346U1	PSEUFLOR	FW	V	s2	20669		Ithomiini	Napeogenes_sylphis_corena	Napeogenes_sylphis_corena	Napeogenes	sylphis	aureliana
20669	20669_PSEUFLOR_FW_V_v3_1811346U1	1811346U1	PSEUFLOR	FW	V	s3	20669		Ithomiini	Napeogenes_sylphis_corena	Napeogenes_sylphis_corena	Napeogenes	sylphis	aureliana
20669	20669_PSEUFLOR_FW_V_v4_1811346U1	1811346U1	PSEUFLOR	FW	V	s4	20669		Ithomiini	Napeogenes_sylphis_corena	Napeogenes_sylphis_corena	Napeogenes	sylphis	aureliana
20669	20669_PSEUFLOR_FW_V_v5_1811346U1	1811346U1	PSEUFLOR	FW	V	s5	20669		Ithomiini	Napeogenes_sylphis_corena	Napeogenes_sylphis_corena	Napeogenes	sylphis	aureliana
20731	20731_METHCURN_FW_V_v1_1811346U1	1811346U1	METHCURN	FW	V	s1	20731		Ithomiini	Methona_curvifascia	Methona_curvifascia	Methona	curvifascia	confusa
20731	20731_METHCURN_FW_V_v2_1811346U1	1811346U1	METHCURN	FW	V	s2	20731		Ithomiini	Methona_curvifascia	Methona_curvifascia	Methona	curvifascia	confusa
20731	20731_METHCURN_FW_V_v3_1811346U1	1811346U1	METHCURN	FW	V	s3	20731		Ithomiini	Methona_curvifascia	Methona_curvifascia	Methona	curvifascia	confusa
20731	20731_METHCURN_FW_V_v4_1811346U1	1811346U1	METHCURN	FW	V	s4	20731		Ithomiini	Methona_curvifascia	Methona_curvifascia	Methona	curvifascia	confusa
20731	20731_METHCURN_FW_V_v5_1811346U1	1811346U1	METHCURN	FW	V	s5	20731		Ithomiini	Methona_curvifascia	Methona_curvifascia	Methona	curvifascia	confusa
20778	20778_HETENEPH_FW_V_v1_1811346U1	1811346U1	HETENEPH	FW	V	s1	20680		Ithomiini	Heterosais_nephele_nephele	Heterosais_nephele_nephele	Heterosais	nephele	agnosia
20778	20778_HETENEPH_FW_V_v2_1811346U1	1811346U1	HETENEPH	FW	V	s2	20680		Ithomiini	Heterosais_nephele_nephele	Heterosais_nephele_nephele	Heterosais	nephele	agnosia
20778	20778_HETENEPH_FW_V_v3_1811346U1	1811346U1	HETENEPH	FW	V	s3	20680		Ithomiini	Heterosais_nephele_nephele	Heterosais_nephele_nephele	Heterosais	nephele	agnosia
20778	20778_HETENEPH_FW_V_v4_1811346U1	1811346U1	HETENEPH	FW	V	s4	20680		Ithomiini	Heterosais_nephele_nephele	Heterosais_nephele_nephele	Heterosais	nephele	agnosia
20778	20778_HETENEPH_FW_V_v5_1811346U1	1811346U1	HETENEPH	FW	V	s5	20680		Ithomiini	Heterosais_nephele_nephele	Heterosais_nephele_nephele	Heterosais	nephele	agnosia
21050	21050_GODYHEWI_FW_V_v1_1811346U1	1811346U1	GODYHEWI	FW	V	s1	21050		Ithomiini	Godyris_hewitsoni	Godyris_hewitsoni	Godyris	hewitsoni	hewitsoni
21050	21050_GODYHEWI_FW_V_v2_1811346U1	1811346U1	GODYHEWI	FW	V	s2	21050		Ithomiini	Godyris_hewitsoni	Godyris_hewitsoni	Godyris	hewitsoni	hewitsoni
21050	21050_GODYHEWI_FW_V_v3_1811346U1	1811346U1	GODYHEWI	FW	V	s3	21050		Ithomiini	Godyris_hewitsoni	Godyris_hewitsoni	Godyris	hewitsoni	hewitsoni
21050	21050_GODYHEWI_FW_V_v4_1811346U1	1811346U1	GODYHEWI	FW	V	s4	21050		Ithomiini	Godyris_hewitsoni	Godyris_hewitsoni	Godyris	hewitsoni	hewitsoni
21050	21050_GODYHEWI_FW_V_v5_1811346U1	1811346U1	GODYHEWI	FW	V	s5	21050		Ithomiini	Godyris_hewitsoni	Godyris_hewitsoni	Godyris	hewitsoni	hewitsoni
21175	21175_OLERATHA_FW_V_v1_1811346U1	1811346U1	OLERATHA	FW	V	s1	21175		Ithomiini	Oleria_athalina_banjana	Oleria_athalina_banjana	Oleria 	athalina	banjana-m
21175	21175_OLERATHA_FW_V_v2_1811346U1	1811346U1	OLERATHA	FW	V	s2	21175		Ithomiini	Oleria_athalina_banjana	Oleria_athalina_banjana	Oleria 	athalina	banjana-m
21175	21175_OLERATHA_FW_V_v3_1811346U1	1811346U1	OLERATHA	FW	V	s3	21175		Ithomiini	Oleria_athalina_banjana	Oleria_athalina_banjana	Oleria 	athalina	banjana-m
