SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Veine	Repet	Family	Subfamily	Tribe	Genus	species	subspecies	CollectionDate	CollectionLocation	sex
20560	20560_CALLLENE_FW_V_v1_R02_1510133U1	1510133U1	CALLLENE	FW	V	v1	R02	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v1_R03_1510133U1	1510133U1	CALLLENE	FW	V	v1	R03	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v2_R01_1510133U1	1510133U1	CALLLENE	FW	V	v2	R01	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v2_R02_1510133U1	1510133U1	CALLLENE	FW	V	v2	R02	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v2_R03_1510133U1	1510133U1	CALLLENE	FW	V	v2	R03	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v3_R01_1510133U1	1510133U1	CALLLENE	FW	V	v3	R01	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v3_R02_1510133U1	1510133U1	CALLLENE	FW	V	v3	R02	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v3_R03_1510133U1	1510133U1	CALLLENE	FW	V	v3	R03	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v4_R01_1510133U1	1510133U1	CALLLENE	FW	V	v4	R01	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v4_R02_1510133U1	1510133U1	CALLLENE	FW	V	v4	R02	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v4_R03_1510133U1	1510133U1	CALLLENE	FW	V	v4	R03	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v5_R01_1510133U1	1510133U1	CALLLENE	FW	V	v5	R01	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
20560	20560_CALLLENE_FW_V_v5_R02_1510133U1	1510133U1	CALLLENE	FW	V	v5	R02	Nymphalidae	Danainae	Ithomiini	Callithomia	lenea		NA	NA	NA
