Code	Genus	Species	sex	Veine	Poil	Type.Poil	LongueurTot1	LongueurTot2	LongueurEchancrure	Largeur.Base	Largeur.Echancrure1	Largeur.Echancrure2
GL07-183	Heterosais	nephele	m	V3	P6	monofide	183.75			4.62		
GL07-183	Heterosais	nephele	m	V3	P7	monofide	229.6			5.26		
GL07-183	Heterosais	nephele	m	V3	P8	monofide	174.66			4.33		
GL07-183	Heterosais	nephele	m	V3	P9	monofide	178.32			4.53		
GL07-183	Heterosais	nephele	m	V3	P10	monofide	292.2			5.2		
GL07-183	Heterosais	nephele	m	V4	P1	monofide	205.2			5.2		
GL07-183	Heterosais	nephele	m	V4	P2	monofide	223.3			3.7		
GL07-183	Heterosais	nephele	m	V4	P3	monofide	198.2			4.7		
GL07-183	Heterosais	nephele	m	V4	P4	monofide	263.3			5.4		
GL07-183	Heterosais	nephele	m	V4	P5	monofide	213.5			5.2		
GL07-183	Heterosais	nephele	m	V4	P6	monofide	269.6			5.7		
GL07-183	Heterosais	nephele	m	V4	P7	monofide	282.1			6.1		
GL07-183	Heterosais	nephele	m	V4	P8	monofide	337.8			5.9		
GL07-183	Heterosais	nephele	m	V4	P9	monofide	317.8			6.6		
GL07-183	Heterosais	nephele	m	V4	P10	monofide	218.2			4.6		
20385	Ithomia	agnosia	m	V3	P2	bifide	104.21	99.81	16.62	3.91	4.32	5.07
20385	Ithomia	agnosia	m	V3	P4	bifide	95.93	96.97	16.73	3.45	3.99	5.09
20385	Ithomia	agnosia	m	V3	P6	bifide	101.67	96.22	12.87	3.08	3.61	4.08
20385	Ithomia	agnosia	m	V3	P8	bifide	85.57	96.96	12.79	3.36	3.06	4.92
20385	Ithomia	agnosia	m	V3	P10	bifide	90.09	102.36	12.91	3.13	4.1	5.08
20385	Ithomia	agnosia	m	V3	P1	monofide	262.9			3.7		
20385	Ithomia	agnosia	m	V3	P3	monofide	190.1			3		
20385	Ithomia	agnosia	m	V3	P5	monofide	151.35			3.01		
20385	Ithomia	agnosia	m	V3	P7	monofide	150.84			3.31		
20385	Ithomia	agnosia	m	V3	P9	monofide	302			3.6		
20385	Ithomia	agnosia	m	V4	P2	bifide	72.46	78.4	9.03	3.17	3.74	4.33
20385	Ithomia	agnosia	m	V4	P4	bifide	86.03	96.06	10.85	3.31	3.59	3.44
20385	Ithomia	agnosia	m	V4	P6	bifide	80.74	75.82	11.09	3.42	3.93	4.13
20385	Ithomia	agnosia	m	V4	P8	bifide	89.14	96.19	12.56	3.51	3.41	3.98
20385	Ithomia	agnosia	m	V4	P10	bifide	67.35	72.88	9.13	3.68	4.37	4.55
20385	Ithomia	agnosia	m	V4	P7	monofide	232.01			3.81		
20385	Ithomia	agnosia	m	V4	P1	monofide	232.6			4.5		
20385	Ithomia	agnosia	m	V4	P3	monofide	200.27			4.5		
20385	Ithomia	agnosia	m	V4	P5	monofide	258.1			4		
20385	Ithomia	agnosia	m	V4	P9	monofide	197.6			4.1		
20711	Ithomia	agnosia	f	V3	P1	monofide	181.8			3.8		
20711	Ithomia	agnosia	f	V3	P2	monofide	177.8			3.7		
20711	Ithomia	agnosia	f	V3	P3	monofide	176.2			3.2		
20711	Ithomia	agnosia	f	V3	P4	monofide	132			3.39		
20711	Ithomia	agnosia	f	V3	P5	monofide	165.77			3.26		
20711	Ithomia	agnosia	f	V3	P6	bifide	86.19	92.37	12.46	3.08	3.41	2.6
20711	Ithomia	agnosia	f	V3	P7	bifide	75.44	80.1	11.26	3.67	2.82	3.08
20711	Ithomia	agnosia	f	V3	P8	bifide	84.85	85.86	14.2	3.34	2.99	3.27
20711	Ithomia	agnosia	f	V3	P9	bifide	97.73	95.78	13.89	3.55	2.98	2.78
20711	Ithomia	agnosia	f	V3	P10	bifide	98.13	92.96	16.3	3.21	2.68	2.85
20711	Ithomia	agnosia	f	V4	P1	bifide	112.97	107.67	13.63	3.28	3.59	3.75
20711	Ithomia	agnosia	f	V4	P2	bifide	132.26	107.98	16.24	4.13	3.91	3.59
20711	Ithomia	agnosia	f	V4	P3	bifide	115.62	114.46	15.17	3.52	2.87	2.92
20711	Ithomia	agnosia	f	V4	P4	bifide	108.83	107.96	21.16	3.52	2.78	2.83
20711	Ithomia	agnosia	f	V4	P5	bifide	117.84	125.33	16.02	4.19	3.08	3.21
20711	Ithomia	agnosia	f	V4	P6	monofide	219.7			3.3		
20711	Ithomia	agnosia	f	V4	P7	monofide	212			3.8		
20711	Ithomia	agnosia	f	V4	P8	monofide	183.84			4.18		
20711	Ithomia	agnosia	f	V4	P9	monofide	161.81			3.51		
20711	Ithomia	agnosia	f	V4	P10	monofide	157.53			3.97		
20773	Ithomia	agnosia	f	V3	P1	bifide	98.35	95.05	14.57	3.27	2.65	2.56
20773	Ithomia	agnosia	f	V3	P2	bifide	100.31	97.92	15.56	3.11	2.65	2.82
20773	Ithomia	agnosia	f	V3	P3	bifide	98.68	96.68	16.48	3.22	2.81	2.67
20773	Ithomia	agnosia	f	V3	P4	bifide	101.86	98.33	14.04	2.96	2.37	2.86
20773	Ithomia	agnosia	f	V3	P5	bifide	100.9	103.63	17.13	3.25	2.68	2.56
20773	Ithomia	agnosia	f	V3	P6	monofide	154.14			4.43		
20773	Ithomia	agnosia	f	V3	P7	monofide	184.55			3.09		
20773	Ithomia	agnosia	f	V3	P8	monofide	165.58			3.17		
20773	Ithomia	agnosia	f	V3	P9	monofide	146.16			3.18		
20773	Ithomia	agnosia	f	V3	P10	monofide	154.92			3.49		
20773	Ithomia	agnosia	f	V4	P1	bifide	84.76	86.17	11.51	3.05	2.77	2.52
20773	Ithomia	agnosia	f	V4	P2	bifide	73.26	77.75	10.23	3.94	2.82	2.6
20773	Ithomia	agnosia	f	V4	P3	bifide	95.87	99.79	12.27	3.61	2.57	2.92
20773	Ithomia	agnosia	f	V4	P4	bifide	88.82	99.86	11.45	3.58	2.46	2.81
20773	Ithomia	agnosia	f	V4	P5	bifide	80.36	92.48	13.26	3.58	2.71	2.51
20773	Ithomia	agnosia	f	V4	P6	monofide	246.03			4.3		
20773	Ithomia	agnosia	f	V4	P7	monofide	178.56			4.68		
20773	Ithomia	agnosia	f	V4	P8	monofide	152.56			4.71		
20773	Ithomia	agnosia	f	V4	P9	monofide	153.37			4.5		
20773	Ithomia	agnosia	f	V4	P10	monofide	172.43			4.16		
CP17-1	Ithomia	agnosia	f	V3	P1	monofide	201.8			3.61		
CP17-1	Ithomia	agnosia	f	V3	P2	bifide	84.77	85.23	13.62	3.08	2.92	2.91
CP17-1	Ithomia	agnosia	f	V3	P3	monofide	171.36			3.98		
CP17-1	Ithomia	agnosia	f	V3	P4	bifide	94.5	85.69	11.16	2.62	3.08	3.37
CP17-1	Ithomia	agnosia	f	V3	P5	monofide	164.94			3.07		
CP17-1	Ithomia	agnosia	f	V3	P6	bifide	91.09	78.45	13.38	2.86	3.06	3.35
CP17-1	Ithomia	agnosia	f	V3	P7	monofide	169.31			3.74		
CP17-1	Ithomia	agnosia	f	V3	P8	bifide	95.53	93.8	11.6	3.69	3.25	2.99
CP17-1	Ithomia	agnosia	f	V3	P9	monofide	184.79			3.58		
CP17-1	Ithomia	agnosia	f	V3	P10	bifide	92.56	97.07	12.28	3.34	2.99	3.34
CP17-1	Ithomia	agnosia	f	V4	P1	monofide	213.46			4.13		
CP17-1	Ithomia	agnosia	f	V4	P2	bifide	96.91	86.39	13.65	2.91	3.75	3.43
CP17-1	Ithomia	agnosia	f	V4	P3	monofide	134.98			3.58		
CP17-1	Ithomia	agnosia	f	V4	P4	monofide	140.87			3.36		
CP17-1	Ithomia	agnosia	f	V4	P5	monofide	200.16			3.94		
CP17-1	Ithomia	agnosia	f	V4	P6	monofide	183.68			3.74		
CP17-1	Ithomia	agnosia	f	V4	P7	bifide	103.67	92.7	12.81	3.08	3.55	3.78
CP17-1	Ithomia	agnosia	f	V4	P8	bifide	89.61	87.95	15.1	3.72	3.53	3.26
CP17-1	Ithomia	agnosia	f	V4	P9	bifide	100.8	104.54	13.82	3.49	3.63	3.22
CP17-1	Ithomia	agnosia	f	V4	P10	bifide	82.56	78.58	19.46	3.01	3	3.26
CP17-3	Ithomia	agnosia	f	V3	P1	bifide	85.47	88.51	17.67	3.25	2.77	2.61
CP17-3	Ithomia	agnosia	f	V3	P2	bifide	92.08	85.42	16.77	3.26	2.57	2.37
CP17-3	Ithomia	agnosia	f	V3	P3	bifide	87.97	91.21	12.89	3.54	2.6	2.95
CP17-3	Ithomia	agnosia	f	V3	P4	bifide	87.43	88.55	13.67	2.95	2.58	2.87
CP17-3	Ithomia	agnosia	f	V3	P5	bifide	83.9	78.09	16.96	3.35	2.65	2.42
CP17-3	Ithomia	agnosia	f	V3	P6	monofide	164.9			3.64		
CP17-3	Ithomia	agnosia	f	V3	P7	monofide	150.77			3.4		
CP17-3	Ithomia	agnosia	f	V3	P8	monofide	134.42			3.02		
CP17-3	Ithomia	agnosia	f	V3	P9	monofide	137.87			3.2		
CP17-3	Ithomia	agnosia	f	V3	P10	monofide	132.7			3.11		
CP17-3	Ithomia	agnosia	f	V4	P1	bifide	86.99	94.07	13.33	3.34	2.74	2.89
CP17-3	Ithomia	agnosia	f	V4	P2	bifide	93.48	81.28	29.08	3.35	2.46	2.22
CP17-3	Ithomia	agnosia	f	V4	P3	bifide	83.29	82.33	16.1	4	3.35	3
CP17-3	Ithomia	agnosia	f	V4	P4	bifide	92.19	96.29	15.05	3.64	2.18	2.65
CP17-3	Ithomia	agnosia	f	V4	P5	bifide	95.61	97.87	14.64	3.28	2.48	2.89
CP17-3	Ithomia	agnosia	f	V4	P6	monofide	230.8			4.7		
CP17-3	Ithomia	agnosia	f	V4	P7	monofide	184.73			3.71		
CP17-3	Ithomia	agnosia	f	V4	P8	monofide	160.54			3.71		
CP17-3	Ithomia	agnosia	f	V4	P9	monofide	161.16			2.99		
CP17-3	Ithomia	agnosia	f	V4	P10	monofide	127.73			3.64		
CP17-16	Ithomia	agnosia	m	V3	P1	bifide	86.08	94.62	17.08	3.13	2.37	2.85
CP17-16	Ithomia	agnosia	m	V3	P2	bifide	94.29	87.91	16.23	2.87	2.63	2.86
CP17-16	Ithomia	agnosia	m	V3	P3	bifide	87.35	93.47	16.75	3.29	2.58	2.62
CP17-16	Ithomia	agnosia	m	V3	P4	bifide	100.65	95.49	17.37	3.88	2.65	2.8
CP17-16	Ithomia	agnosia	m	V3	P5	bifide	94.94	97.26	17.27	3.39	2.57	3.13
CP17-16	Ithomia	agnosia	m	V3	P6	monofide	151.8			3.04		
CP17-16	Ithomia	agnosia	m	V3	P7	monofide	164			3.43		
CP17-16	Ithomia	agnosia	m	V3	P8	monofide	182.75			3.39		
CP17-16	Ithomia	agnosia	m	V3	P9	monofide	183.24			3.29		
CP17-16	Ithomia	agnosia	m	V3	P10	monofide	198.97			3.61		
CP17-16	Ithomia	agnosia	m	V4	P1	bifide	114.4	102.92	16.91	3.56	3.09	2.8
CP17-16	Ithomia	agnosia	m	V4	P2	bifide	91.25	102.98	17.19	3.98	3.17	2.85
CP17-16	Ithomia	agnosia	m	V4	P3	bifide	93.9	99.45	17.38	3.48	2.86	2.8
CP17-16	Ithomia	agnosia	m	V4	P4	bifide	104.63	99.02	18.25	3.8	2.62	2.8
CP17-16	Ithomia	agnosia	m	V4	P5	bifide	97.02	114.14	16.18	3.56	2.55	3.15
CP17-16	Ithomia	agnosia	m	V4	P6	monofide	171.89			4.32		
CP17-16	Ithomia	agnosia	m	V4	P7	monofide	180.39			4.12		
CP17-16	Ithomia	agnosia	m	V4	P8	monofide	137.18			3.34		
CP17-16	Ithomia	agnosia	m	V4	P9	monofide	202.4			4.26		
